country,continent,year,lifeExp,pop,gdpPercap
Australia,Oceania,1950,69.02,8267337,10031.12138
Australia,Oceania,1951,68.72,8510600,10160.73672
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1953,69.7,8857924,10157.91298
Australia,Oceania,1954,69.85,9064017,10544.08738
Australia,Oceania,1955,70.17,9277087,10864.61774
Australia,Oceania,1956,70.05,9500606,10974.12837
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,1958,70.88,9915267,11240.95886
Australia,Oceania,1959,70.45,10131729,11678.07069
Australia,Oceania,1960,70.89,10361273,11897.96372
Australia,Oceania,1961,71.16,10598814,11711.50002
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1963,70.99,11001483,12722.21702
Australia,Oceania,1964,70.65,11218304,13329.89726
Australia,Oceania,1965,70.98,11439384,13739.92688
Australia,Oceania,1966,70.82,11655083,13860.95806
Australia,Oceania,1967,71.1,11872264,14526.12465
Australia,Oceania,1968,70.73,12101660,15088.55836
Australia,Oceania,1969,71.14,12379384,15647.10938
Australia,Oceania,1970,70.81,12660160,16273.14214
Australia,Oceania,1971,71.41,12937200,16633.1259
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1973,72.14,13380400,17429.71805
Australia,Oceania,1974,71.89,13599100,17574.58167
Australia,Oceania,1975,72.84,13771400,17824.57038
Australia,Oceania,1976,72.88,13915500,18351.06793
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1978,73.88,14248600,18635.0381
Australia,Oceania,1979,74.44,14421900,19380.63562
Australia,Oceania,1980,74.6,14615900,19505.55452
Australia,Oceania,1981,74.97,14923260,19841.87946
Australia,Oceania,1982,74.74,15184200,19477.00928
Australia,Oceania,1983,75.55,15393500,19214.56115
Australia,Oceania,1984,76.02,15579400,20295.25294
Australia,Oceania,1985,75.46,15788300,21040.4946
Australia,Oceania,1986,76.13,16018350,21168.81051
Australia,Oceania,1987,76.32,16257249,21888.88903
Australia,Oceania,1988,76.36,16520206,22508.19078
Australia,Oceania,1989,76.46,16780235,23133.97635
Australia,Oceania,1990,77.06,17022133,23151.89034
Australia,Oceania,1991,77.55,17257526,22893.85675
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1993,78.1,17688687,24053.10102
Australia,Oceania,1994,78.1,17892557,24780.17241
Australia,Oceania,1995,78.49,18116171,25518.71544
Australia,Oceania,1996,78.56,18348078,26151.13247
Australia,Oceania,1997,78.83,18565243,26997.93657
Australia,Oceania,1998,79.33,18768789,28169.15341
Australia,Oceania,1999,79.58,18968247,28983.2672
Australia,Oceania,2000,79.99,19164620,29241.5145
Australia,Oceania,2001,80.35,19357594,30043.24277
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,2003,80.78,19731984,31634.24243
Australia,Oceania,2004,81.15,19913144,32098.50615
Australia,Oceania,2007,81.235,20434176,34435.36744
Brazil,Americas,1952,50.917,56602560,2108.944355
Brazil,Americas,1957,53.285,65551171,2487.365989
Brazil,Americas,1962,55.665,76039390,3336.585802
Brazil,Americas,1967,57.632,88049823,3429.864357
Brazil,Americas,1972,59.504,100840058,4985.711467
Brazil,Americas,1977,61.489,114313951,6660.118654
Brazil,Americas,1982,63.336,128962939,7030.835878
Brazil,Americas,1987,65.205,142938076,7807.095818
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Egypt,Africa,1952,41.893,22223309,1418.822445
Egypt,Africa,1957,44.444,25009741,1458.915272
Egypt,Africa,1962,46.992,28173309,1693.335853
Egypt,Africa,1967,49.293,31681188,1814.880728
Egypt,Africa,1972,51.137,34807417,2024.008147
Egypt,Africa,1977,53.319,38783863,2785.493582
Egypt,Africa,1982,56.006,45681811,3503.729636
Egypt,Africa,1987,59.797,52799062,3885.46071
Egypt,Africa,1992,63.674,59402198,3794.755195
Egypt,Africa,1997,67.217,66134291,4173.181797
Egypt,Africa,2002,69.806,73312559,4754.604414
Egypt,Africa,2007,71.338,80264543,5581.180998
France,Europe,1950,66.39,41828673,6595.926631
France,Europe,1951,66.12,42155534,6913.756537
France,Europe,1952,67.41,42459667,7029.809327
France,Europe,1953,67.34,42751746,7171.244319
France,Europe,1954,68.21,43056505,7485.855759
France,Europe,1955,68.47,43427669,7851.776992
France,Europe,1956,68.5,43843075,8224.217165
France,Europe,1957,68.93,44310863,8662.834898
France,Europe,1958,70.16,44788852,8855.252659
France,Europe,1959,70.19,45239729,9040.636982
France,Europe,1960,70.4,45670000,9640.940051
France,Europe,1961,70.98,46189000,10070.70911
France,Europe,1962,70.51,47124000,10560.48553
France,Europe,1963,70.36,47808000,10941.36907
France,Europe,1964,71.32,48340000,11541.52506
France,Europe,1965,71.15,48763000,11985.95392
France,Europe,1966,71.56,49194000,12511.09646
France,Europe,1967,71.55,49569000,12999.91766
France,Europe,1968,71.54,49934000,13457.29711
France,Europe,1969,71.27,50353000,14289.38322
France,Europe,1970,72.16,50787000,14979.38205
France,Europe,1971,72.13,51285000,15554.55925
France,Europe,1972,72.38,51732000,16107.19171
France,Europe,1973,72.54,52157000,16853.49326
France,Europe,1974,72.89,52503000,17266.97996
France,Europe,1975,72.98,52758427,17140.24026
France,Europe,1976,73.22,52953613,17799.33496
France,Europe,1977,73.83,53165019,18292.63514
France,Europe,1978,73.95,53380649,18825.95486
France,Europe,1979,74.26,53605523,19409.07809
France,Europe,1980,74.35,53869743,19660.01861
France,Europe,1981,74.51,54147284,19835.85601
France,Europe,1982,74.89,54433565,20293.89746
France,Europe,1983,74.87,54649810,20643.23289
France,Europe,1984,75.37,54946500,20888.34207
France,Europe,1985,75.47,55171224,21225.41215
France,Europe,1986,75.75,55387361,21656.22833
France,Europe,1987,76.34,55630100,22066.44214
France,Europe,1988,76.57,55873463,22990.10356
France,Europe,1989,76.7,56416625,23669.58284
France,Europe,1990,76.99,56735161,24182.34052
France,Europe,1991,77.17,57055448,24382.98257
France,Europe,1992,77.46,57374179,24703.79615
France,Europe,1993,77.51,57658289,24334.03492
France,Europe,1994,77.95,57906847,24747.81699
France,Europe,1995,78.07,58149727,25214.34926
France,Europe,1996,78.28,58388408,25406.80475
France,Europe,1997,78.64,58623428,25889.78487
France,Europe,1998,78.81,58866290,26704.51324
France,Europe,1999,78.94,59116128,27466.21016
France,Europe,2000,79.25,59381628,28443.62305
France,Europe,2001,79.44,59658144,28827.72241
France,Europe,2002,79.59,59925035,28926.03234
France,Europe,2003,79.59,60180529,28970.5971
France,Europe,2004,80.52,60424213,29466.09716
France,Europe,2005,80.5,60656178,29644.0
France,Europe,2007,80.657,61083916,30470.0167
Germany,Europe,1950,66.47296,68374572,6090.034207
Germany,Europe,1952,67.5,69145952,7144.114393
Germany,Europe,1957,69.1,71019069,10187.82665
Germany,Europe,1962,70.3,73739117,12902.46291
Germany,Europe,1967,70.8,76368453,14745.62561
Germany,Europe,1972,71.0,78717088,18016.18027
Germany,Europe,1977,72.5,78160773,20512.92123
Germany,Europe,1982,73.8,78335266,22031.53274
Germany,Europe,1987,74.847,77718298,24639.18566
Germany,Europe,1991,75.61,79984244,26127.05882
Germany,Europe,1992,76.07,80597764,26505.30317
Germany,Europe,1993,76.15,81132272,26119.4586
Germany,Europe,1994,76.47,81414164,26720.64284
Germany,Europe,1995,76.65,81653702,27145.95792
Germany,Europe,1996,76.9,81890667,27336.46604
Germany,Europe,1997,77.34,82011073,27788.88416
Germany,Europe,1998,77.7,82023672,28291.5981
Germany,Europe,1999,77.94,82074778,28842.65612
Germany,Europe,2000,78.21,82187909,29726.87876
Germany,Europe,2001,78.57,82280551,30061.39867
Germany,Europe,2002,78.67,82350671,30035.80198
Germany,Europe,2003,78.74,82398326,29952.93665
Germany,Europe,2004,79.33,82424609,30260.6614
Germany,Europe,2005,79.46,82431390,30496.0
Germany,Europe,2006,79.79,82422299,31374.42754
Germany,Europe,2007,79.406,82400996,32170.37442
India,Asia,1952,37.373,372000000,546.5657493
India,Asia,1957,40.249,409000000,590.061996
India,Asia,1962,43.605,454000000,658.3471509
India,Asia,1967,47.193,506000000,700.7706107
India,Asia,1972,50.651,567000000,724.032527
India,Asia,1977,54.208,634000000,813.337323
India,Asia,1982,56.596,708000000,855.7235377
India,Asia,1987,58.553,788000000,976.5126756
India,Asia,1992,60.223,872000000,1164.406809
India,Asia,1997,61.765,959000000,1458.817442
India,Asia,2002,62.879,1034172547,1746.769454
India,Asia,2007,64.698,1110396331,2452.210407
Japan,Asia,1950,59.3,83805000,2644.585447
Japan,Asia,1951,60.99,85163848,2926.689586
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1953,63.37,87655163,3406.853094
Japan,Asia,1954,64.61,88753892,3554.902815
Japan,Asia,1955,65.77,89815060,3814.965272
Japan,Asia,1956,65.63,90766211,4058.838069
Japan,Asia,1957,65.5,91563009,4317.694365
Japan,Asia,1958,67.12,92388772,4528.38594
Japan,Asia,1959,67.51,93296566,4893.312509
Japan,Asia,1960,67.8,94091638,5488.805469
Japan,Asia,1961,68.45,94943293,6094.424202
Japan,Asia,1962,68.73,95831757,6576.649461
Japan,Asia,1963,69.81,96811940,7061.483649
Japan,Asia,1964,70.28,97826267,7803.680953
Japan,Asia,1965,70.33,98882534,8170.007443
Japan,Asia,1966,71.14,99790308,8957.28044
Japan,Asia,1967,71.43,100825279,9847.788607
Japan,Asia,1968,71.75,101960672,10991.99599
Japan,Asia,1969,71.98,103171831,12218.47929
Japan,Asia,1970,72.07,104344973,13374.86201
Japan,Asia,1971,72.89,105696786,13824.23536
Japan,Asia,1972,73.42,107188273,14778.78636
Japan,Asia,1973,73.48,108706797,15742.87517
Japan,Asia,1974,73.91,110162302,15344.57125
Japan,Asia,1975,74.41,111573116,15618.92782
Japan,Asia,1976,74.81,112774841,16066.66829
Japan,Asia,1977,75.38,113872473,16610.37701
Japan,Asia,1978,75.7,114912911,17327.75913
Japan,Asia,1979,76.21,115890431,18123.89211
Japan,Asia,1980,76.19,116807309,18488.25746
Japan,Asia,1981,76.6,117648092,18938.11132
Japan,Asia,1982,77.11,118454974,19384.10571
Japan,Asia,1983,77.14,119269949,19698.72425
Japan,Asia,1984,77.54,120034697,20339.95264
Japan,Asia,1985,77.84,120754335,21109.16097
Japan,Asia,1986,78.26,121491913,21588.49152
Japan,Asia,1987,78.67,122091325,22375.94189
Japan,Asia,1988,78.58,122613000,23661.03654
Japan,Asia,1989,79.02,123107500,24704.53408
Japan,Asia,1990,79.04,123537399,25870.13512
Japan,Asia,1991,79.31,123946268,26648.76575
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1993,79.51,124668019,26818.24098
Japan,Asia,1994,79.91,125014050,27037.82807
Japan,Asia,1995,79.76,125341354,27509.08014
Japan,Asia,1996,80.46,125645311,28385.15847
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,1998,80.77,126246096,27904.67521
Japan,Asia,1999,80.74,126494403,27809.60299
Japan,Asia,2000,81.35,126699784,28559.60016
Japan,Asia,2001,81.7,126891645,28569.05491
Japan,Asia,2002,82.0,127065841,28604.5919
Japan,Asia,2003,82.07,127214499,29073.61233
Japan,Asia,2004,82.36,127333002,29742.04613
Japan,Asia,2005,82.27,127417244,30290.0
Japan,Asia,2006,82.67,127463611,31001.71797
Japan,Asia,2007,82.603,127467972,31656.06806
Nigeria,Africa,1952,36.324,33119096,1077.281856
Nigeria,Africa,1957,37.802,37173340,1100.592563
Nigeria,Africa,1962,39.36,41871351,1150.927478
Nigeria,Africa,1967,41.04,47287752,1014.514104
Nigeria,Africa,1972,42.821,53740085,1698.388838
Nigeria,Africa,1977,44.514,62209173,1981.951806
Nigeria,Africa,1982,45.826,73039376,1576.97375
Nigeria,Africa,1987,46.886,81551520,1385.029563
Nigeria,Africa,1992,47.472,93364244,1619.848217
Nigeria,Africa,1997,47.464,106207839,1624.941275
Nigeria,Africa,2002,46.608,119901274,1615.286395
Nigeria,Africa,2007,46.859,135031164,2013.977305
United States,Americas,1950,68.12,152271000,12922.2343
United States,Americas,1951,68.22,154878000,13702.42575
United States,Americas,1952,68.44,157553000,13990.48208
United States,Americas,1953,68.79,160184000,14398.56122
United States,Americas,1954,69.58,163026000,14045.22052
United States,Americas,1955,69.63,165931000,14797.65083
United States,Americas,1956,69.71,168903000,14820.1462
United States,Americas,1957,69.49,171984000,14847.12712
United States,Americas,1958,69.76,174882000,14455.69662
United States,Americas,1959,69.98,177830000,15239.98472
United States,Americas,1960,69.91,180671000,15374.01822
United States,Americas,1961,70.32,183691000,15474.78009
United States,Americas,1962,70.21,186538000,16173.14586
United States,Americas,1963,70.04,189242000,16646.2579
United States,Americas,1964,70.33,191889000,17380.43484
United States,Americas,1965,70.41,194303000,18277.61585
United States,Americas,1966,70.43,196560000,19256.78588
United States,Americas,1967,70.76,198712000,19530.36557
United States,Americas,1968,70.42,200706000,20276.3506
United States,Americas,1969,70.66,202677000,20702.82807
United States,Americas,1970,70.92,205052000,20495.85297
United States,Americas,1971,71.24,207661000,20923.74366
United States,Americas,1972,71.34,209896000,21806.03594
United States,Americas,1973,71.54,211909000,22853.17141
United States,Americas,1974,72.08,213854000,22528.17694
United States,Americas,1975,72.68,215973000,22261.43424
United States,Americas,1976,72.99,218035000,23235.06147
United States,Americas,1977,73.38,220239000,24072.63213
United States,Americas,1978,73.58,222585000,25156.36866
United States,Americas,1979,74.03,225055000,25672.01176
United States,Americas,1980,73.93,227726463,25366.02267
United States,Americas,1981,74.36,229966237,25755.07922
United States,Americas,1982,74.65,232187835,25009.55914
United States,Americas,1983,74.71,234307207,25910.13179
United States,Americas,1984,74.82,236348292,27547.10387
United States,Americas,1985,74.79,238466283,28439.71118
United States,Americas,1986,74.87,240650755,29161.68646
United States,Americas,1987,75.02,242803533,29884.35041
United States,Americas,1988,75.03,245021414,30846.86533
United States,Americas,1989,75.32,247341697,31646.40825
United States,Americas,1990,75.61,250131894,31880.95862
United States,Americas,1991,75.81,253492503,31398.40261
United States,Americas,1992,76.09,256894189,32003.93224
United States,Americas,1993,75.84,260255352,32434.29902
United States,Americas,1994,76.02,263435673,33338.14347
United States,Americas,1995,76.11,266557091,33773.3237
United States,Americas,1996,76.46,269667391,34628.08345
United States,Americas,1997,76.81,272911760,35767.43303
United States,Americas,1998,76.98,276115288,36839.82007
United States,Americas,1999,76.97,279294713,38053.7171
United States,Americas,2000,77.13,282338631,39025.86282
United States,Americas,2001,77.25,285023886,38891.10952
United States,Americas,2002,77.31,287675526,39097.09955
United States,Americas,2003,77.47,290342554,39747.3764
United States,Americas,2004,77.88,293027571,40804.33426
United States,Americas,2005,77.89,295734134,41674.0
United States,Americas,2007,78.242,301139947,42951.65309
