abstract_id,abstract
ABS-001,"Background and Objectives : Migraine is a common neurological condition that can affect daily life and well-being. Lifestyle factors such as physical activity, sleep, diet, and stress are often discussed in relation to migraine, but their role is not always consistent. This study aimed to examine how selected lifestyle factors are related to migraine frequency and intensity in adults, with a focus on physical activity and dietary habits. Materials and Methods : A cross-sectional study was conducted among 300 adults recruited through an online migraine-focused community from 1 January to 28 February 2026. Participants completed a questionnaire addressing migraine history, frequency and duration of attacks, pain intensity, physical activity, sleep duration, perceived stress, and dietary habits. Associations were assessed using Spearman correlation and multiple linear regression analyses. Results : Most participants were female (88%), and 48% reported physician-diagnosed migraine. Mean migraine intensity was 7.44 ± 1.72. Migraine intensity was positively correlated with migraine frequency (rs = 0.31, p p p p p p p = 0.005), perceived stress (β = 0.23, p = 0.006), and aura (β = -0.19, p = 0.033) were significant predictors of migraine intensity. Physical activity was not significantly associated with migraine intensity or frequency. Conclusions : Migraine intensity was most consistently related to perceived stress and migraine frequency, whereas migraine frequency was associated with dietary factors and BMI. Physical activity was not associated with migraine outcomes. These findings suggest that lifestyle factors are related to migraine characteristics, although the cross-sectional design does not allow conclusions about causality."
ABS-002,"A growing body of research has demonstrated the positive impact of nature-based interventions on cognition, affect, and overall well-being. However, important questions remain regarding the processes through which nature therapy exerts its effects. Participants (n = 188) were recruited and randomly assigned to one of four experimental conditions (nature therapy, nature only, mindfulness only, and control condition). While exposure to nature alone, mindfulness alone, and the combination of the two significantly decreased negative mood, only the combination of nature and mindfulness significantly improved positive mood. The present findings highlight the unique impact that nature-based interventions that also incorporate mindfulness techniques have on positive mood. These findings are consistent with research that demonstrates that positive mood enhancement is clinically meaningful."
ABS-003,"The demanding nature of medical training elevates the risk of sleep disruption and may compromise academic performance. At the same time, procrastination is a prevalent self-regulatory difficulty among students that has been independently linked to poorer academic outcomes. Although both sleep quality and procrastination are two critical self-regulatory variables that have been linked to performance, their interplay is not well understood. The present cross-sectional study examined whether procrastination moderates the association between sleep quality and academic performance in medical students. An a priori power analysis indicated that a minimum of 119 participants was required. The final sample comprised 125 medical students (M age = 25.6 years, 54% female). Participants completed self-report measures of sleep quality (Pittsburgh Sleep Quality Index; PSQI), procrastination (Behavioral and Emotional Academic Procrastination Scale; BEPS), and academic performance (composite exam grades). Hierarchical regression analyses showed that poorer sleep quality and greater procrastination were each significantly associated with lower academic performance. In addition, the interaction between sleep quality and procrastination was significant, accounting for an additional 2.7% of variance in performance. The simple slope analysis supported the main hypothesis: the negative association between poor sleep and performance was stronger at higher levels of procrastination, whereas the association was weaker among students with lower procrastination. Though the additional variance was modest (Δ R 2 = 0.027), results may inform evidence-based strategies to support student well-being and success."
ABS-004,"Background/Objectives: The transition to higher education is often accompanied by lifestyle changes that may influence sleep habits, physical activity, and social media use, with potential consequences for physical and mental health. Methods: A quantitative, cross-sectional, descriptive, and correlational study was conducted using an online questionnaire administered between April and May 2024. The sample included 201 participants (123 students and 78 teaching/non-teaching staff). Data were collected using the Mental Health Inventory-5 (MHI-5), Social Media Addiction Scale (SMAS), Global Physical Activity Questionnaire (GPAQ), and Pittsburgh Sleep Quality Index (PSQI). Descriptive statistics and Spearman correlation analyses were performed. Results: Students presented lower mental health scores compared to staff members. Sleep quality indicators, particularly reduced sleep efficiency and increased use of sleep medication, were significantly associated with poorer mental health. Correlations between physical activity, social media use, sleep quality, and mental health were generally weak, suggesting that these domains contribute independently to perceived well-being. Staff members showed slightly higher levels of social media addictive behaviors, while students reported shorter sleep duration and greater emotional variability. Conclusions: The findings indicate that students presented lower mental health scores and poorer sleep indicators compared to staff members. Sleep quality-particularly sleep duration, efficiency, and use of sleep medication-showed the most consistent associations with mental health, while physical activity and social media use demonstrated weaker relationships. These results highlight the relevance of targeted sleep-focused interventions within higher education settings, especially for students in low-density regions."
ABS-005,"Introduction Stress remains a critical barrier to psychological wellbeing and academic functioning among university students, particularly in cognitively demanding distance learning contexts. These students often experience role conflict, social isolation, and increased mental load, which can hinder effective learning. This study examined whether a targeted web-based mindfulness intervention-focused on self-compassion and gratitude-produces more sustainable psychological benefits than a comprehensive mindfulness program. Methods This randomized controlled trial included 167 university students who were randomized to one of two intervention arms; the final analytic sample comprised 98 participants after pre-specified, arm-blind outlier handling and exclusions due to missingness. Both interventions were delivered over 28 days using daily digital exercises. Measures of mindfulness, self-compassion, and perceived stress were collected at baseline, post-intervention, and at a three-month follow-up. Results Both intervention groups showed significant short-term improvements in mindfulness and perceived stress ( p p Discussion The targeted program was intentionally structured using cognitive learning theories-specifically Cognitive Load Theory to reduce extraneous processing and Spaced Repetition Theory to support memory consolidation-by emphasizing repetition of two core practices. The findings suggest that simplified, theory-informed mindfulness interventions may improve psychological resilience in cognitively burdened learners by facilitating deeper internalization and emotional regulation. This study contributes to educational psychology by demonstrating how instructional design grounded in cognitive theory can enhance mental health and support learners' capacity to manage stress in demanding academic contexts."
ABS-006,"Introduction In today's world, where smartphones have become an indispensable part of life, the existence of a department for treating smartphone addiction (nomophobia) in hospitals demonstrates that this is a public health issue. Nomophobia symptoms are exhibited by individuals of almost all ages, with young people being the least able to stay away from their phones. Against this backdrop, the present study aims to investigate whether perceived physical activity barriers among students at the Faculty of Sports Sciences have a predictive effect on their levels of nomophobia. Method A total of 570 students enrolled in the Faculty of Sports Sciences participated in the study on a voluntary basis. The Üsküdar Nomophobia Scale and the Perceived Physical Activity Barriers Scale were employed. The data were analyzed using the Jamovi (2.3.28.0) statistical program with a 95% confidence interval and a significance level of 0.05. Results A positive moderate correlation was found between participants' nomophobia and physical activity barrier scores. The final regression model was statistically significant [ R = 0.479, R 2 = 0.230, F (6,563) = 27.955, p R 2 = 0.213, p β = 0.451, p p = 0.006) and teaching type ( p = 0.019) were also found to be significant predictors, whereas BMI, gender and academic year were not. Conclusion The findings suggest that perceived barriers to physical activity are a significant factor in predicting nomophobia among university students. Reducing these barriers and promoting active lifestyles could encourage healthier technology usage behaviors and reduce excessive smartphone addiction."
ABS-007,"BACKGROUND: Focused attention (FA) meditation has been proposed to enhance decision quality by mitigating cognitive biases. However, its influence on probability weighting bias (PWB), the tendency to misperceive objective probabilities, remains unexplored. Furthermore, emotional trade-off difficulty (ETOD), defined as the affective strain of making complex trade offs, may influence this relationship. The present study explores the interplay between FA meditation, ETOD, and PWB. Specifically, we examined whether ETOD’s effect on PWB is mediated by compensatory decision strategies (systematic trade-off evaluation versus reliance on heuristics), and whether a brief FA induction moderates this process. METHODS: A 2 × 2 between-subjects experiment was conducted with 138 participants randomly assigned to either a brief focused attention or a mind-wandering control condition. Participants completed a decision-making task to induce either high or low levels of ETOD. PWB was assessed through a series of risky-choice scenarios, while gaze-time tracking measured the extent of compensatory information processing, proposed as a mediating variable. RESULTS: Under high ETOD, participants who underwent FA induction demonstrated significantly greater PWB compared to those in the control group, suggesting that FA meditation exacerbated decision bias under emotional strain. In contrast, under low ETOD, FA meditation reduced PWB. Moderated mediation analysis revealed that ETOD influenced PWB through its impact on compensatory decision strategies, with this pathway being moderated by FA induction. CONCLUSIONS: Our results demonstrate that FA meditation effectively mitigates PWB under low ETOD conditions but does not yield the same benefit under high ETOD. Consequently, we conclude that the utility of FA meditation is strictly context-dependent."
ABS-008,"Lifestyle improvements can bring individual and societal benefits. Most interventions are standardized; however, personalized interventions may be more effective. We examined the effect of a personalized app‑based lifestyle intervention, with or without monthly coaching, on physical activity, diet, alcohol, sleep, stress, and smoking, in a three‑month randomized controlled trial. Office workers and bus drivers (n = 209) were randomized 1:1:1 to app, app-coach, or control group. Differences in change from baseline to follow‑up were analysed using robust linear regression, with the control group as the reference. Participants were on average 48.2 years and 42% were female. Both intervention groups increased minutes of exercise (app group β = 15.7 min/week, 95% CI: 3.5, 27.9; app-coach group β = 13.8 min/week, 95% CI: 1.4, 26.1). Compared to the control group, participants in the app-coach group increased their vegetable intake (β = 51.8 g/day, 95% CI: 2.5, 101.1) and fruit and vegetable intake (β = 87.7 g/day 95% CI: 8.9, 166.6). Participants in the app-coach group also increased time in bed (β = 0.43 h/night, 95% CI: 0.05, 0.81) and sleep duration (β = 0.40 h/night, 95% CI: 0.01, 0.78). No other outcomes differed between groups. While the effects seen on physical activity, diet and sleep were limited, even small behavioural changes can benefit health. Though, the effect of coaching needs further evaluation. Future personalized app-based interventions have potential to improve lifestyle behaviours."
ABS-009,"Post-learning activities are thought to influence how well newly learned information is consolidated into memory. The present study investigated whether wakeful rest provides advantages for memory consolidation compared to common distractor activities. University students (N = 161) read an expository text and were randomly assigned to one of four 8-minute post-reading conditions: wakeful rest, social media use, math task, or reading an interference text. Participants completed an immediate test assessing both conceptual understanding and factual recall, followed by a delayed test one week later using different but conceptually aligned test items. Results showed a significant decline in performance from the immediate to the delayed test across all groups. However, the wakeful rest condition did not yield consistent benefits relative to the distractor conditions. These findings suggest that in a real-world educational setting, wakeful rest may not provide superior benefits for conceptual understanding and memory retention relative to other post-learning activities."
ABS-010,"An early indicator of future cardiovascular risk is lower levels of nighttime blood pressure (BP) dipping from day to night. Prior work has been limited to identifying health behaviors that can promote greater dipping. This pilot study proposes that one possible set of behaviors may be engagement in self-selected leisure activities (SSLAs, or freely chosen non-work activities that are performed with the purpose of relaxation and/or mental escape), which have been linked with reduced daily stress and general daily BP control. Healthy young adult college students [ N = 32; 78.1% ( n = 25) female, 71.9% ( n = 23) white, with an average body mass index (BMI) of 26.31 (SD = 2.46)] visited our laboratory twice within approximately one week. At each visit, the participants were fitted with an ambulatory monitor to collect BP over 24 h. On each day, participants were randomly assigned to either engage in an agreed-upon SSLA or go about their day as usual, except to refrain from engaging in assigned SSLAs; compliance was verified by daily diaries. When accounting for BMI and race/ethnicity, the results showed a higher percentage of BP dipping on the SSLA versus control day for diastolic BP (d = 0.54). SSLAs may be associated with reduced future cardiovascular disease through a nighttime BP dipping effect."
ABS-011,"Objectives : Exposure to appearance-focused social media often leads to body image disturbance among young women. One promising intervention to lessen this negative impact is mindfulness meditation. This study aimed to determine whether a brief mindfulness meditation intervention could mitigate the adverse effects of exposure to appearance-focused social media content on body image and mood in young Chinese women. Methods : In an online randomized controlled trial, 168 women aged 18-35 years were randomly assigned to either an intervention group ( n = 86) that listened to a ten-minute mindfulness meditation audio or to a control group ( n = 82) that listened to a ten-minute recorded natural history text. After listening to the audio, participants viewed idealized body images on Xiaohongshu and compared themselves to these images. Outcome measures included state body dissatisfaction and negative mood. Data were collected at baseline (T0), post-intervention (T1), and post-exposure to images (T2). Results : At T0, groups did not differ in age, BMI, education, body dissatisfaction, or negative mood (all p > 0.05). From T0 to T1, both groups showed significant improvements in body dissatisfaction and mood. The intervention group's scores decreased significantly ( p = 0.008; p p p = 0.178 and p = 0.310, respectively) from T1 to T2, whereas the control group's scores worsened significantly on both outcome measures ( p Conclusions : These findings suggest that even a brief mindfulness meditation intervention may buffer against the negative effects of idealized social media content on body image and mood."
ABS-012,"Background Sleep deprivation is a growing concern among students, particularly in demanding fields such as health sciences, where it can impair cognitive function and academic performance. This study aimed to investigate the prevalence of sleep deprivation and its impact on health sciences students at Umm Al-Qura University. Methods A cross-sectional study was conducted during the 2024-2025 academic year, involving 211 undergraduate health sciences students. Data were collected through an online questionnaire assessing sociodemographic characteristics, sleep patterns, academic performance, stress levels, and electronic device use. Statistical analyses included independent t-tests, chi-square tests, and regression analyses to evaluate associations between sleep quality and academic outcomes. Results Among the participants, 102 (48.3%) reported difficulty sleeping. Poor sleep quality was significantly associated with shorter sleep duration, longer sleep latency, and irregular sleep schedules. Students with sleep difficulties were more likely to use digital devices before bedtime (72 (70.6%) vs. 56 (51.4%); p = 0.007) and to feel less refreshed upon waking (p = 0.001). Poor sleep quality scores were also significantly associated with poorer academic performance (p = 0.018), higher stress levels (p = 0.022), and difficulty completing academic tasks on time (p = 0.0039). Notably, 82 participants (38.86%) lacked awareness of recommended sleep duration. Conclusion This study highlights the high prevalence of sleep deprivation among health sciences students. Although sleep difficulties were commonly reported, the findings showed mixed associations with academic performance. Interventions focusing on reducing screen time, managing stress, and improving sleep education are recommended to enhance sleep quality. Addressing sleep deprivation is essential for improving student well-being and supporting academic success."
ABS-013,"Background and objectives Although previous studies suggest that social media may influence individuals of different ages, comprehensive and objective research focusing on older adults remains limited. This study aimed to investigate the associations between social media use on the well-being of older adults using objective assessment methods. Methods A cross-sectional study was conducted with 153 adults aged 50 years and older. Objective social media use was assessed through smartphone screen-time records covering at least the previous 2 weeks, while participants also reported their estimated daily usage durations. Psychological and nutritional well-being were evaluated using validated scales: the De Jong Gierveld Loneliness Scale, PHQ-9 for depression, GAD-7 for anxiety, and MNA-SF for nutritional status. Data were analyzed using nonparametric tests, correlation analyses, and multivariable logistic regression. Results The mean age of participants was 64.2 years (SD = 9.7), and 43.1% were female. The majority of participants (78.4%) had normal nutritional status, but loneliness (53.6%), depression (62.7%), and anxiety (66.2%) were relatively high. The median daily social media use was 90 min (IQR = 27-178). Older participants spent significantly less time on social media ( p p p p > 0.05). Conclusions While higher income was associated with greater use, social media engagement was not linked to adverse psychological or nutritional outcomes. These findings suggest that social media use was not significantly associated with adverse psychological or nutritional well-being among adults aged 50 years and older."
ABS-014,"Early childhood education may have the potential to narrow the income achievement gap. However, studies have shown substantial intervention fadeout, calling for rigorous assessment of the long-term effects of early childhood programs. In a randomized controlled study, Courtier et al. (2021) found that an adapted Montessori curriculum led to larger reading gains in kindergarten than conventional public education in France. Participants from that intervention were recovered five years later while in conventional classrooms and once again tested on academic, cognitive, and social skills (N = 97; M age =10-11). Children who benefited from the adapted Montessori curriculum no longer showed better reading skills than their peers (d=-0.07). However, they outperformed their peers on math problem-solving (d = 0.58), an effect not present in kindergarten."
ABS-015,"University years represent a period of major transition during which health-related behaviors, such as sleep and physical activity, may influence students' academic functioning. This cross-sectional, single-center study, conducted at an Italian university, examined the associations between sleep, physical activity, and academic well-being. Students completed an online survey assessing sleep, physical activity, and several indicators of academic functioning (i.e., academic stress, self-efficacy, dropout intention, and motivation). Nonparametric tests (Kruskal-Wallis, Jonckheere-Terpstra) were used to explore differences in these indicators across sleep quality and physical activity categories, while linear regressions tested associations between sleep duration and Metabolic Equivalent of Task-minutes/week with the same academic outcomes. A total of 2192 students (15.55%) accessed the survey, and 1246 (8.84%) completed all questionnaires. Most participants were female (62.7%) and Italian (94.5%). Both sleep and physical activity showed significant but small associations with academic stress, dropout intention, and self-efficacy, whereas associations with academic motivation were weaker. These findings suggest that maintaining regular physical activity and healthy sleep habits may contribute to students' academic adjustment, although the cross-sectional design limits causal interpretation and underscores the need for integrative models to better understand the underlying psychological mechanisms."
